Year,New Zealand,New Caledonia ,Papua New Guinea,Vanuatu,Fiji,Other Oceania and Antarctica,UK,Ireland,Austria ,Belgium ,France,Germany ,Netherlands ,Switzerland,Denmark,Finland ,Norway,Sweden ,Other North-West Europe ,Italy ,Spain,Poland,Russian Federation , Other Southern and Eastern Europe ,Iran , Israel,Saudi Arabia ,United Arab Emirates ,Other North Africa and the Middle East,Cambodia ,Thailand,Vietnam,Indonesia,Malaysia,Philippines,Singapore,Other South-East Asia,China,Hong Kong,Taiwan,Japan,"Korea, South",Other North-East Asia ,Bangladesh ,India,Nepal ,Pakistan,Sri Lanka,Other Southern and Central Asia,Canada,United States of America,Argentina,Brazil ,Chile,Colombia,Mexico,Other Americas,South Africa,Other Sub-Saharan Africa
2013,1201250,38860,56600,9950,30540,29800,668230,63700,16130,19070,114800,170090,45540,48980,23970,13640,20540,40670,2520,71670,25870,11580,20030,58240,7120,12310,13600,32340,33550,5070,78590,40900,146790,281390,74550,333140,15530,720760,182970,109320,330800,198870,6960,8110,176830,6500,10260,19150,3530,136290,516250,14930,36430,15930,10250,7680,13020,54770,25070
2014,1244800,43050,53980,8690,31750,35090,657190,61690,16870,21550,123520,183740,46740,52040,24580,14070,22010,42470,2810,74220,29650,13550,19710,61000,7750,11740,15240,35340,34610,5110,76780,48100,155000,326730,81820,362680,16460,851030,201340,120120,333750,202820,8140,10250,200100,8110,10880,21300,3970,140110,561700,11290,44700,16780,10760,8450,13180,53850,27510
2015,1311950,48630,53660,9360,32020,33420,688190,58120,16880,20300,124700,185280,46030,52990,25090,14450,21250,43590,3030,73370,35070,15420,13950,60370,9360,12880,14880,38830,34830,6640,78110,57330,157530,340680,95240,387150,17420,1031900,217880,131230,341990,226780,9380,11540,235790,10570,11460,26960,4090,141570,618630,11090,45590,18050,11960,8860,14400,55950,26190
2016,1345190,49380,52450,10320,36680,35090,715550,56680,18890,20950,129100,199260,50640,54040,28730,15050,21440,44700,3060,76400,40260,17540,13600,66880,12020,13190,13800,40900,38420,9250,91720,70050,180600,389960,113050,429760,19420,1208240,247680,162960,417870,280100,10280,12130,262260,15070,14420,30760,4370,152140,716530,18710,47240,23060,13820,9130,14750,56390,27330
2017,1359510,50420,50530,12690,41670,35070,732890,57160,18440,21480,129620,208350,55450,56560,28530,16180,22200,47340,3670,75300,40410,18300,15240,71440,13990,14110,12790,45150,39340,10270,97870,93860,192790,396770,127300,432970,20200,1356910,281200,179930,434550,302210,12690,16680,302570,19960,17780,35540,5640,167580,780570,23550,55720,24870,16010,11420,16990,56040,31080
2018,1385000,53770,48720,14560,45640,42410,733450,62340,19050,23070,142600,207120,59750,57930,30490,16950,24280,45600,4020,77900,47080,19950,16310,74560,13280,15730,13760,41680,39970,12340,99410,110820,208910,401170,143700,447980,21320,1432140,308750,202820,469330,287990,15730,18830,357700,29140,19650,42070,7310,182100,789110,28980,57820,30870,19090,11860,18870,59010,34010
2019,1433770,54570,49390,17110,45670,44050,715820,67280,19520,23600,143730,207090,64750,54730,29650,16370,23390,42610,4530,75210,47460,21060,17910,76860,10610,16280,14510,40380,37840,15730,102700,123460,221730,384900,158550,478500,24390,1438670,315150,194610,498640,280480,15930,20250,399300,38110,20910,43960,7590,189610,817990,23830,57950,29590,21760,13280,19340,61310,31810
2020,242440,14010,9300,3810,8600,7750,200800,17080,4750,5750,34710,53030,15260,13310,8770,3970,5810,11470,970,14980,11220,6430,5090,21890,1910,3790,4350,7220,8020,2860,15100,28470,34360,44790,26530,58320,5060,207690,60930,35950,91720,53520,2730,4530,83960,7780,5930,8550,2150,52290,188680,6870,13060,7730,5900,3030,4870,11220,6580
2021,96760,600,1170,4890,1150,5900,21890,1890,390,490,2980,3120,1670,1190,600,240,500,820,220,1770,1030,500,490,3510,400,840,610,2790,1950,150,1390,1300,2830,2340,4460,15830,570,6550,3090,480,1870,2060,200,630,12960,1400,1130,1640,1550,3280,16760,320,650,170,170,130,400,830,900
2022,697630,28630,20800,10490,28120,19120,399190,46240,8580,10650,60520,85350,31400,22590,14820,6120,10970,17350,2190,36320,23770,7810,5070,42790,8890,9720,6050,23450,21440,8720,52660,69820,90840,85260,80290,295800,12930,89250,53720,26160,79390,72510,5440,14170,303330,39370,18260,27800,4630,88010,326030,12010,29400,11060,21830,5740,10040,36260,17510
2023,1272140,43870,39940,18780,55040,43460,596880,79190,16150,17190,114160,151870,51920,42600,26000,11140,17990,28110,3430,62300,42160,14890,10630,66410,11480,13930,9430,37090,37080,18550,96710,166630,201500,175550,157570,364010,18640,535790,183700,122790,297720,288010,17450,20630,395560,54800,25660,41240,8280,157190,659740,22920,48350,23840,39570,12250,20960,46110,30460
2024,773680,20670,24620,10020,28430,27060,342140,46550,9170,9580,69610,88760,27780,23130,15230,6010,11240,14110,1890,33150,24040,9370,5420,34770,4890,7200,6490,22830,19960,11790,58490,106010,133740,113690,100860,224850,11320,551840,125950,102650,204060,211140,8710,13140,250950,30170,14050,26440,4550,94280,417620,14270,26110,15230,15280,8240,11450,23220,15540
